,datetime,Open,High,Low,Close,Volume,sp
122,1532098800,7473.8,7490.3,7437.0,7479.0396,618.80774,4624575.0
123,1532102400,7479.1,7535.0,7449.8,7467.9,1018.6897,7628528.5
124,1532106000,7468.0,7685.2,7461.0,7463.4,5448.639,41299984.0
125,1532109600,7464.0,7497.1,7305.0,7331.0,5614.5474,41515204.0
126,1532113200,7331.1,7393.5,7274.2,7355.9,2083.265,15272127.0
127,1532116800,7355.9,7380.0,7290.3,7351.6,1115.7162,8182112.5
128,1532120400,7351.5,7370.0,7323.1,7352.3,388.34494,2852133.0
129,1532124000,7352.4,7369.4,7273.1,7300.0,785.8597,5752305.5
130,1532127600,7300.6,7374.0,7277.5,7357.0,1754.0078,12853361.0
131,1532131200,7357.0,7362.5,7308.5,7333.1,451.35754,3307953.0
132,1532134800,7333.1,7333.2,7221.0,7239.0,1316.7192,9558297.0
133,1532138400,7239.0,7266.0,7223.3,7260.0,744.50885,5392415.0
134,1532142000,7259.9,7297.0,7252.9,7275.0,427.175,3109089.0
135,1532145600,7275.0,7294.0,7263.7,7276.4,294.78656,2145979.2
136,1532149200,7276.4,7296.0,7253.9,7296.0,289.9017,2108310.8
137,1532152800,7296.0,7326.9,7287.7,7325.0,930.9573,6801097.5
138,1532156400,7324.9,7356.2,7314.6,7341.5,274.52975,2013825.8
139,1532160000,7340.2,7352.7,7322.7,7330.0,332.83466,2441607.8
140,1532163600,7330.1,7330.1,7287.5,7311.6,368.30377,2691682.5
141,1532167200,7311.7,7341.1,7310.0,7326.0,222.77391,1631535.0
142,1532170800,7326.1,7329.1,7271.7,7300.3,510.85623,3728944.5
143,1532174400,7300.3,7333.8,7290.6,7319.1,228.24507,1669214.5
144,1532178000,7319.1,7350.0,7290.4,7334.9,277.13846,2030067.5
145,1532181600,7334.9,7370.0,7334.9,7354.5,622.50134,4581412.0
146,1532185200,7354.6,7385.0,7351.0,7354.8,302.58066,2230439.5
147,1532188800,7354.9,7419.0,7345.7,7390.1,643.92896,4759867.0
148,1532192400,7390.0,7425.0,7385.1,7398.1,544.69434,4032957.0
149,1532196000,7398.1,7420.0,7387.9,7405.8,601.9437,4456776.5
150,1532199600,7405.8,7439.0,7405.7,7428.9136,272.19656,2021736.4
151,1532203200,7428.9,7444.7,7390.7,7418.0,467.0027,3469377.0
152,1532206800,7419.5,7459.0,7409.9,7415.8,457.24213,3398229.2
153,1532210400,7415.7,7425.6,7400.5,7407.9,123.08218,913009.94
154,1532214000,7407.8,7424.3,7405.1,7421.7,58.800938,435917.62
155,1532217600,7421.8,7431.0,7402.1,7403.4,131.70213,977233.75
156,1532221200,7403.3,7447.5,7329.1,7438.5,1279.1799,9446782.0
157,1532224800,7438.5,7479.1,7427.6,7478.2,341.9278,2549684.0
158,1532228400,7478.2,7486.9,7417.0,7425.1,821.1757,6131561.5
159,1532232000,7425.1,7430.2,7402.9,7417.1,1171.4385,8685765.0
160,1532235600,7417.1,7417.2,7360.0,7395.4,692.02826,5115739.0
161,1532239200,7395.3,7408.4,7378.4,7406.8,247.3149,1827397.9
162,1532242800,7406.8,7406.8,7373.0,7392.0,178.27391,1318047.9
163,1532246400,7392.0,7402.167,7380.6,7391.9,112.80802,833606.6
164,1532250000,7392.0,7455.9,7392.0,7438.4,709.1837,5267095.0
165,1532253600,7438.4,7460.0,7431.3,7434.0,218.80064,1628513.0
166,1532257200,7434.0,7460.0,7425.0,7452.2,285.8654,2127854.0
167,1532260800,7453.1,7473.5,7439.8,7446.3,342.9668,2558524.8
168,1532264400,7446.4,7456.4,7433.8,7438.5,180.6756,1344471.8
169,1532268000,7438.5,7480.0,7430.5,7460.3,610.54285,4552579.5
170,1532271600,7460.3,7511.0,7450.0,7492.1,1092.1987,8176387.5
171,1532275200,7492.2,7549.0,7485.0,7526.2,1388.0562,10439550.0
172,1532278800,7527.7,7538.5,7485.0,7510.0,666.32697,5009111.0
173,1532282400,7510.0,7519.0,7480.0,7500.1,349.00595,2615826.2
174,1532286000,7500.1,7534.0,7500.1,7515.1,193.42432,1454340.0
